Experiment;1;t;x;y;2;;;;3
;;746.91;0.006357441;0.02265375;;;;;
;;750.2424;0.006203362;0.02256816;;;;;
;;753.5749;0.007725674;0.02262067;;;;;
;;756.9074;0.006302548;0.02263456;;;;;
;;760.2399;0.006273913;0.02259584;;;;;
;;763.5724;0.006208095;0.02255893;;;;;
;;766.9049;0.007433068;0.0225816;;;;;
;;770.2373;0.006295803;0.02241267;;;;;
;;773.5698;0.005459883;0.0234229;;;;;
;;776.9023;0.006865099;0.02344378;;;;;
;;780.2348;0.006948866;0.02357766;;;;;
;;783.5673;0.006905386;0.02383524;;;;;
;;786.8998;0.006570158;0.02388354;;;;;
;;790.2323;0.006472939;0.02402399;;;;;
;;793.5647;0.006124739;0.02401697;;;;;
;;796.8975;0.006908039;0.02406342;;;;;
;;800.2297;0.006983103;0.02419635;;;;;
;;803.5622;0.007204781;0.02439454;;;;;
;;806.8947;0.006231449;0.0244415;;;;;
;;810.2272;0.007068199;0.02441071;;;;;
;;813.5597;0.0103822;0.02526236;;;;;
;;816.8921;0.01076399;0.02543968;;;;;
;;820.2246;0.01073937;0.02540165;;;;;
;;823.5571;0.01061562;0.02528846;;;;;
;;826.8896;0.01103228;0.02542521;;;;;
;;830.2221;0.01035756;0.02543293;;;;;
;;833.5546;0.006548354;0.02490267;;;;;
;;836.8871;0.00742599;0.02507446;;;;;
;;840.2195;0.006279551;0.02488134;;;;;
;;843.552;0.006338527;0.02501477;;;;;
;;846.8845;0.006407751;0.02489688;;;;;
;;850.217;0.006762654;0.02518618;;;;;
;;853.5495;0.007925158;0.02572763;;;;;
;;856.882;0.007160726;0.02539631;;;;;
;;860.2144;0.007458151;0.02539267;;;;;
;;863.5469;0.007723081;0.02555942;;;;;
;;866.8794;0.00757537;0.02540394;;;;;
;;870.2119;0.01128065;0.0261907;;;;;
;;873.5444;0.007284252;0.02552299;;;;;
;;876.8769;0.007693142;0.02584406;;;;;
;;880.2094;0.01120904;0.02637078;;;;;
;;883.5419;0.01129589;0.02635072;;;;;
;;886.8744;0.01062499;0.02619119;;;;;
;;890.2068;0.005734785;0.02610446;;;;;
