Experiment;1;t;x;y;2;t;x;y;3;;;;
;;173.28944;0.0125;0.0142;;273.3636;0.129293248;0.057160999;;;;;
;;176.62193;0.0128;0.0143;;276.6961222;0.128919849;0.057264695;;;;;
;;179.95442;0.0086;0.014;;280.0286;0.128874716;0.057139715;;;;;
;;183.28691;0.00871;0.0142;;283.3610556;0.128805873;0.057230502;;;;;
;;186.6194;0.00754;0.0141;;286.6935444;0.128757809;0.057219792;;;;;
;;189.95189;0.0101;0.0141;;290.0260444;0.130691933;0.057642513;;;;;
;;193.28438;0.00434;0.0143;;293.3918444;0.131305978;0.057676742;;;;;
;;196.61687;0.0156;0.0135;;296.7243222;0.131305978;0.057676742;;;;;
;;199.94936;0.00942;0.0139;;300.0568111;0.130640797;0.057454877;;;;;
;;203.28185;0.00942;0.0139;;303.3893;0.128896406;0.058576433;;;;;
;;206.61434;0.00725;0.0137;;306.7217667;0.128709393;0.058535813;;;;;
;;209.94683;0.00941;0.0139;;310.0544111;0.12901328;0.058712315;;;;;
;;213.27932;0.0108;0.014;;313.3867444;0.12870676;0.058599117;;;;;
;;216.61181;0.00942;0.0139;;316.7192556;0.12911827;0.058881269;;;;;
;;219.9443;0.0126;0.014;;320.0519111;0.129263601;0.059032544;;;;;
;;223.27679;0.00913;0.0139;;323.3842333;0.129296226;0.059149937;;;;;
;;226.60928;0.0128;0.014;;326.7167111;0.129156425;0.059105599;;;;;
;;229.94177;0.00662;0.0153;;330.0492222;0.129171101;0.059187139;;;;;
;;233.27426;0.007;0.0153;;333.3816667;0.129678577;0.059335555;;;;;
;;236.60675;0.013;0.0141;;336.7141444;0.129471929;0.059230349;;;;;
;;239.93924;0.00662;0.0153;;340.0466333;0.128236547;0.059775336;;;;;
;;243.27173;0.0035;0.0159;;343.3791222;0.129001707;0.059719116;;;;;
;;246.60422;0.0033;0.0159;;346.7115889;0.128369672;0.059955966;;;;;
;;249.93671;0.00727;0.0157;;350.0440889;0.128630344;0.059904142;;;;;
;;253.2692;0.0069;0.0157;;353.3765667;0.1288717;0.059845502;;;;;
