Experiment;1;t;x;y;2;t;x;y;3;t;x;y;
;;1003.07945;0.00948;0.0283;;1103.385744;0.131399356;0.074840605;;598.4;0.127835244;0.042698535;
;;1006.41194;0.00947;0.0283;;1106.718344;0.131045856;0.074969624;;599.4666667;0.127713412;0.042651028;
;;1009.74443;0.00831;0.0284;;1110.050733;0.131175031;0.075070038;;600.5333333;0.127785759;0.042707366;
;;1013.07692;0.00912;0.0283;;1113.3832;0.131387008;0.075122156;;601.6;0.127818286;0.042725828;
;;1016.40941;0.00839;0.0287;;1116.715711;0.131245522;0.075069636;;602.6666667;0.127746817;0.042683559;
;;1019.7419;0.00836;0.0287;;1120.048178;0.13122528;0.075093098;;603.7333333;0.12783191;0.042728778;
;;1023.07439;0.00952;0.0285;;1123.380633;0.131274049;0.075110131;;604.8;0.127797977;0.042698617;
;;1026.40688;0.00836;0.0287;;1126.713133;0.131289705;0.075122493;;605.8666667;0.127825049;0.042739898;
;;1029.73937;0.00814;0.0287;;1130.045622;0.131279292;0.075183438;;606.9333333;0.127671799;0.042689264;
;;1033.07186;0.00808;0.0288;;1133.378144;0.131329477;0.075277166;;608;0.127671105;0.042682994;
;;1036.40435;0.00842;0.0288;;1136.710611;0.131316916;0.075231461;;609.0666667;0.127654148;0.042687794;
;;1039.73684;0.0111;0.0288;;1140.043067;0.131341584;0.075603295;;610.1333333;0.127818634;0.042764079;
;;1043.06933;0.0102;0.0289;;1143.375544;0.130262588;0.075771853;;611.2;0.127735359;0.042728528;
;;1046.40182;0.00984;0.0304;;1146.708056;0.130489146;0.075832801;;612.2666667;0.127689553;0.042701062;
;;1049.73431;0.0127;0.0291;;1150.040533;0.130542006;0.075835278;;613.3333333;0.127698515;0.042731922;
;;1053.0668;0.0101;0.0292;;1153.373011;0.130719332;0.075970975;;614.4;0.127664228;0.042751529;
;;1056.39929;0.0108;0.0292;;1156.705511;0.130642722;0.075947544;;615.4666667;0.127474467;0.042678081;
;;1059.73178;0.00834;0.0293;;1160.038022;0.130707829;0.075956263;;616.5333333;0.127614221;0.042879598;
;;1063.06427;0.00833;0.0293;;1163.370467;0.130529745;0.076047997;;617.6;0.128020094;0.043019847;
;;1066.39676;0.00863;0.0294;;1166.702967;0.130568142;0.076070955;;618.6666667;0.127900045;0.042935461;
;;1069.72925;0.0101;0.0295;;1170.035444;0.130597053;0.076056491;;619.7333333;0.127682695;0.042881252;
;;1073.06174;0.0104;0.0295;;1173.367922;0.129159289;0.076377967;;620.8;0.127669385;0.042956391;
;;1076.39423;0.00563;0.0294;;1176.700422;0.129748735;0.076506422;;621.8666667;0.127826892;0.043103284;
;;1079.72672;0.0127;0.0293;;1180.0329;0.127959662;0.076891678;;622.9333333;0.12788636;0.043187129;
;;1083.05921;0.00553;0.0295;;1183.3987;0.129524365;0.076743941;;624;0.128029576;0.043308143;
;;1086.3917;0.00544;0.0295;;1186.731189;0.130439947;0.076453846;;625.0666667;0.128025223;0.043340163;
;;1089.72419;0.00859;0.0297;;1190.0637;0.130379623;0.076406201;;626.1333333;0.127961007;0.043306347;
;;1093.05668;0.0087;0.0297;;1193.396156;0.126212412;0.076908588;;627.2;0.127964064;0.043339972;
;;1096.38917;0.00881;0.0299;;1196.728644;0.126555573;0.076803745;;628.2666667;0.128004074;0.043404399;
;;1099.72166;0.00555;0.0297;;1200.061144;0.126608905;0.07679972;;629.3333333;0.128000585;0.043394976;
;;1103.05415;0.00543;0.0299;;1203.393622;0.126753152;0.076816284;;630.4;0.128045425;0.043454202;
;;1106.38664;0.00851;0.03;;1206.726111;0.126701789;0.076710282;;631.4666667;0.128209504;0.043619008;
;;1109.71913;0.0098;0.031;;1210.058611;0.126663448;0.076684956;;632.5333333;0.128028291;0.043545658;
;;1113.05162;0.00964;0.0311;;1213.3911;0.126987417;0.076591383;;633.6;0.127990768;0.043558943;
;;1116.38411;0.00238;0.0295;;1216.723567;0.126682835;0.076797526;;634.6666667;0.127999506;0.043572301;
;;1119.7166;0.000831;0.0312;;1220.056056;0.126802224;0.076837284;;635.7333333;0.127732141;0.043497901;
;;1123.04909;0.000847;0.0312;;1223.388522;0.126954222;0.07685292;;636.8;0.127800344;0.043552113;
;;1126.38158;0.00631;0.0311;;1226.721256;0.126609303;0.076927491;;637.8666667;0.128004936;0.043722576;
;;1129.71407;0.0042;0.0312;;1230.053511;0.126484661;0.07717251;;638.9333333;0.127946142;0.043747077;
;;1133.04656;0.000405;0.0312;;1233.385989;0.126045419;0.077280657;;640;0.128087414;0.04394752;
;;1136.37905;0.000947;0.0312;;1236.718478;0.126249747;0.077295399;;641.0666667;0.127915621;0.043919139;
;;1139.71154;0.00033;0.0312;;1240.050956;0.126049843;0.077296918;;642.1333333;0.12796525;0.044069375;
;;1143.04403;0.000709;0.0312;;1243.383456;0.126148283;0.07731733;;643.2;0.12793885;0.04404406;
;;1146.37652;0.000245;0.0312;;1246.715933;0.128164945;0.077281894;;644.2666667;0.12786582;0.044072645;
;;1149.70901;0.0041;0.0311;;1250.048422;0.126892157;0.077574355;;645.3333333;0.127974147;0.044170108;
;;1153.0415;0.000479;0.0312;;1253.3809;0.127447644;0.077718919;;646.4;0.127818458;0.044202033;
;;1156.37399;0.0061;0.0309;;1256.713389;0.127083927;0.077821017;;647.4666667;0.127761306;0.044238399;
;;1159.70648;0.00631;0.0309;;1260.045956;0.126995102;0.078430004;;648.5333333;0.127775688;0.044248277;
;;1163.03897;0.00643;0.0309;;1263.378367;0.125784326;0.078472893;;649.6;0.127915777;0.044382357;
;;1166.37146;0.00632;0.031;;1266.710867;0.125594725;0.078487983;;650.6666667;0.127756156;0.044335949;
;;1169.70395;0.00658;0.031;;1270.043322;0.125329101;0.078589637;;651.7333333;0.127842078;0.044349208;
;;1173.03644;0.00661;0.0311;;1273.375811;0.12505056;0.078689915;;652.8;0.127760363;0.044281306;
;;1176.36893;0.00676;0.0311;;1276.708311;0.124897299;0.078812651;;653.8666667;0.12773218;0.04427771;
;;1179.70142;0.00673;0.0311;;1280.040789;0.125042316;0.078824768;;654.9333333;0.127872799;0.044378972;
;;1183.03391;0.00658;0.0311;;1283.373267;0.124920065;0.078925533;;656;0.127942554;0.044410079;
;;1186.3664;0.00313;0.0307;;1286.705767;0.128172545;0.077508138;;657.0666667;0.128035786;0.044504043;
;;1189.69889;0.00679;0.0311;;1290.038256;0.127692876;0.077595998;;658.1333333;0.127950263;0.044488572;
;;1193.03138;0.00673;0.0311;;1293.370722;0.127672791;0.077589442;;659.2;0.127842904;0.044448668;
;;1196.36387;0.00661;0.031;;1296.703222;0.127587698;0.077592753;;660.2666667;0.127795022;0.044435962;
;;1199.69636;0.00651;0.0311;;1300.035756;0.127634608;0.077608665;;661.3333333;0.128047512;0.044586401;
;;1203.02885;0.00658;0.031;;1303.368167;0.127666272;0.077742667;;662.4;0.12801631;0.044641149;
;;1206.36134;0.00675;0.0311;;1306.700656;0.12767047;0.07775195;;663.4666667;0.12789276;0.044627286;
;;1209.69383;0.00671;0.0311;;1310.033156;0.127656484;0.077755131;;664.5333333;0.128020219;0.044751376;
;;1213.02632;0.00676;0.031;;1313.365633;0.127708503;0.077752016;;665.6;0.127985621;0.0447839;
;;1216.35881;0.00664;0.0312;;1316.698133;0.127748225;0.077766276;;666.6666667;0.128030062;0.044814144;
;;1219.6913;0.00865;0.0318;;1320.030611;0.127718423;0.077757939;;667.7333333;0.127875642;0.044715237;
;;1223.02379;0.00686;0.0317;;1323.363089;0.127739049;0.077763253;;668.8;0.127961951;0.04480441;
;;1226.35628;0.00867;0.0321;;1326.695578;0.127686636;0.077742204;;669.8666667;0.127959265;0.04484437;
;;1229.68877;0.00885;0.0324;;1330.061389;0.127719331;0.077754253;;670.9333333;0.127935022;0.044836538;
;;1233.02126;0.00902;0.0324;;1333.393878;0.127738625;0.077759026;;672;0.12789557;0.044823132;
;;1236.35375;0.00884;0.0324;;1336.7264;0.127690346;0.077741693;;673.0666667;0.127769452;0.044786235;
;;1239.68624;0.00964;0.0327;;1340.058856;0.127744106;0.077751919;;674.1333333;0.127895694;0.044887555;
